Trial,40K I series,40K V series,40K V resistor,40K power,40K temp,4K I series,4K V series,4K V resistor,4K power,4K temp,Date
118,0.310479836,15.8688676,15.4606746,4.800227716,64.4338,0.09765896,5.0234104,4.7612896,0.464982591,4.5558,02:29.9
119,0.310459896,15.869067,15.4601152,4.799745759,64.3116,0.137097517,7.1143062,6.7461538,0.924880938,5.228,07:43.8
120,0.310446136,15.8692046,15.4593442,4.799293674,64.1148,0.19361508,10.0638492,9.5455,1.848152746,6.727,12:56.3
121,0.310433756,15.8693284,15.4589298,4.798973643,63.9746,0.236189346,12.335045,11.7005508,2.763545437,8.08,18:09.2
122,0.310415396,15.869512,15.4584446,4.798539204,64.0424,0.272653395,14.2440288,13.5113742,3.683922045,8.96,23:21.7
123,0.310400856,15.8696574,15.4579958,4.79817513,64.2488,0.305053076,15.9231352,15.1031348,4.60725773,9.8308,28:34.5
124,0.310393676,15.8697292,15.4576756,4.797964753,64.5408,0.333640409,17.4482056,16.5416792,5.518972615,10.7406,33:47.8
125,0.339465989,17.3899498,16.9437856,5.751838938,65.5292,-0.00092818,0.0092818,0.0041656,-3.87E-06,3.91,54:02.3
126,0.339437749,17.3902322,16.9425026,5.750924946,65.4462,0.09762956,5.0237044,4.7608548,0.464800159,4.5866,59:15.4
127,0.339425429,17.3903554,16.9419424,5.750526069,65.3296,0.137069217,7.1145892,6.7456,0.924614113,5.2616,04:28.6
128,0.339418009,17.3904296,16.9412452,5.750163717,65.1738,0.1935889,10.064111,9.5448692,1.847780729,6.7836,09:41.6
129,0.339412609,17.3904836,16.9405962,5.749851956,65.043,0.236152586,12.3354126,11.6998116,2.762940761,8.088,14:54.3
130,0.339419829,17.3904114,16.9399936,5.749769732,65.0896,0.272602255,14.2445402,13.5107928,3.683072582,8.9838,20:07.4
131,0.339416049,17.3904492,16.9399854,5.749702916,65.2852,0.472885936,14.2448066,13.5102692,6.388816298,9.1174,25:20.4
132,0.339396089,17.3906488,16.9392756,5.749123891,65.4904,0.333699889,17.4476108,16.5450746,5.521089559,10.5978,30:33.1
133,-0.000272866,0.00272866,0.00276094,-7.53E-07,59.7382,-0.000836876,0.00836876,0.00816024,-6.83E-06,3.5052,06:41.5
134,-0.000306748,0.00306748,0.00144204,-4.42E-07,59.658,0.09776008,5.0223992,4.765999,0.465924444,4.4348,11:56.7
135,-0.000324198,0.00324198,0.0009439,-3.06E-07,59.5608,0.137228817,7.1129932,6.7510224,0.92643482,5.1494,17:12.0
136,-0.00042052,0.0042052,0.00094098,-3.96E-07,59.4084,0.19373796,10.0626204,9.551074,1.850405593,6.6102,22:27.2
137,-0.000493962,0.00493962,0.00093914,-4.64E-07,59.3104,0.236317746,12.333761,11.7061976,2.766382227,8.0654,27:43.0
138,-0.000556216,0.00556216,0.00093296,-5.19E-07,59.4146,0.272875135,14.2418114,13.5165154,3.688320962,8.9918,32:58.6
139,-0.0006087,0.006087,0.00093112,-5.67E-07,59.6782,0.305258276,15.9210832,15.1093064,4.612240825,9.838,38:13.6
140,-0.000655454,0.00655454,0.00092938,-6.09E-07,59.9904,0.333969169,17.444918,16.5536644,5.528413545,10.6958,43:28.6
141,0.09896014,5.0103986,4.8816448,0.483088253,60.8568,-0.00086308,0.0086308,0.0067546,-5.83E-06,3.8528,03:45.2
142,0.09894612,5.0105388,4.8800966,0.482866624,60.6952,0.09772334,5.0227666,4.7650304,0.465654686,4.5498,09:00.0
143,0.0989413,5.010587,4.8801428,0.482847673,60.5344,0.346248157,5.0227998,4.7651082,1.649909934,4.5218,14:14.6
144,0.09892422,5.0107578,4.8788026,0.482631742,60.3054,0.19371286,10.0628714,9.5506948,1.850092405,6.6304,19:30.0
145,0.09891938,5.0108062,4.8780896,0.482537599,60.1256,0.236292206,12.3340164,11.7060366,2.766045208,8.0456,24:44.8
146,0.0989079,5.010921,4.8775746,0.482430661,60.151,0.272819735,14.2423654,13.5167532,3.687637024,8.9368,30:00.2
147,0.09889434,5.0110566,4.8771726,0.482324765,60.357,0.305220856,15.9214574,15.1092128,4.611646866,9.7938,35:14.8
148,0.09889016,5.0110984,4.8772148,0.482308552,60.6286,0.486285129,15.9217584,15.10788,7.346737376,10.002,40:30.3
149,0.138905677,7.0962246,6.9140882,0.960406105,61.3116,-0.00087804,0.0087804,0.0062306,-5.47E-06,3.8134,00:47.3
150,0.138880357,7.0964778,6.912753,0.960045607,61.1548,0.09771588,5.0228412,4.764775,0.465594182,4.5356,06:02.5
